일시,지점,일최저체감온도,일최고기온,일평균기온,일최저기온,일평균상대습도,일평균풍속,일최대풍속,한파특보,한파영향예보,동파가능지수3h
2021-01-01,북강릉(104),-12.8,2.7,-2.6,-9.5,31.4,1.9,7.6,X,관심,보통
2021-01-01,동해(106),-10.9,3.7,-1.1,-5.4,29.8,2.6,5.2,X,관심,낮음
2021-01-01,서울(108),-14.8,1.6,-4.2,-9.8,64,2,4.1,X,관심,보통
2021-01-01,인천(112),-13.7,1.3,-3.4,-8.2,56.1,2.3,5.6,X,관심,보통
2021-01-01,원주(114),-16.7,-0.3,-6.1,-12,71.3,0.6,2.4,주의보,주의,보통
2021-01-01,울릉도(115),-10.6,0.8,-1.2,-3.4,58.6,3.3,8.9,X, ,낮음
2021-01-01,수원(119),-14.9,0,-4.6,-10.4,83.3,1.3,2.8,X,관심,보통
2021-01-01,영월(121),-13.6,1.2,-5.3,-12.6,67.8,1,3.8,주의보,주의,보통
2021-01-01,충주(127),-15.7,-0.5,-6,-12.9,75,1,3,주의보,주의,보통
2021-01-01,서산(129),-11.1,-1,-4.5,-10.7,91.6,0.5,1.7,X, ,낮음
2021-01-01,울진(130),-14.1,4.5,-1.7,-8.7,42,2.5,4.5,X,관심,보통
2021-01-01,청주(131),-12.3,-1.9,-5.2,-10.2,83.5,0.4,1.2,X, ,보통
2021-01-01,대전(133),-12.2,-1.2,-4.6,-9.7,88.8,0.5,1.3,X, ,낮음
2021-01-01,추풍령(135),-15.2,-1.8,-4.4,-9,77.3,2.7,6.1,X, ,보통
2021-01-01,안동(136),-13.8,0.5,-4,-9.2,61.5,2.2,4.6,주의보,주의,보통
2021-01-01,상주(137),-13.4,-1,-4.2,-8.5,79.8,1.6,3.2,X,관심,보통
2021-01-01,포항(138),-10.7,2.7,-1.4,-6.2,59.3,2.3,5.4,X,관심,낮음
2021-01-01,군산(140),-11.9,2.9,-2.3,-8.4,81.9,1.5,5.1,X, ,낮음
2021-01-01,대구(143),-11.2,2.6,-1.8,-5.7,66.4,1.9,5.7,X, ,낮음
2021-01-01,전주(146),-10.9,3.4,-1.6,-7.5,70.8,1.6,4.7,X, ,낮음
2021-01-01,울산(152),-9.6,4,-0.8,-7.2,55.8,2,4.5,X,관심,낮음
2021-01-01,창원(155),-8.8,3.9,-1.3,-6.6,54,1.3,4.4,X,관심,낮음
2021-01-01,광주(156),-7.7,3.5,-0.6,-5,83.1,0.9,3.5,X, ,낮음
2021-01-01,부산(159),-8.8,4.6,0.3,-5,51.8,2.6,6.3,X, ,낮음
2021-01-01,통영(162),-7,4.8,0.8,-4.1,58.9,2.2,4.6,X, ,낮음
2021-01-01,목포(165),-8,3.8,1.3,-2.3,68.5,3,7.8,X, ,낮음
2021-01-01,여수(168),-8.9,4.8,0.8,-2.8,61,3.7,6.8,X, ,낮음
2021-01-01,흑산도(169),-4.4,6,3.6,1.5,58.9,4,8.9,X, ,낮음
2021-01-01,완도(170),-4,5.5,2.1,-1.4,66.9,1.9,5.6,X, ,낮음
2021-01-01,고창(172),-11.8,3.7,-1.5,-7.5,80.9,2.3,7.2,X, ,보통
2021-01-01,제주(184),-1.4,7.2,5.5,4,54.4,3.8,6.9,X, ,낮음
2021-01-01,진주(192),-11.2,4.5,-1.9,-8.4,65.3,1.2,3.9,X, ,낮음
2021-01-01,양평(202),-16,-0.4,-6.3,-12.6,76.1,0.7,2.3,주의보,주의,보통
2021-01-01,이천(203),-15.3,0.2,-5.7,-12.7,80.4,0.9,3.3,주의보,주의,보통
2021-01-01,인제(211),-16.4,-0.5,-5.6,-12.8,48.6,2.2,5.4,경보,경고,높음
2021-01-01,홍천(212),-18.1,-0.2,-7.1,-14.6,67.1,0.9,3.9,경보,경고,높음
2021-01-01,태백(216),-17.3,-2.4,-6.2,-10.8,50.4,1.5,3.8,주의보,주의,높음
2021-01-01,정선군(217),-16.8,-0.6,-5.5,-10.9,49.5,1.9,7.3,주의보,주의,높음
2021-01-01,제천(221),-15.2,-0.8,-6.8,-14.1,74.6,1.3,4.4,주의보,주의,높음
2021-01-01,보은(226),-16.6,-1.7,-7.1,-14.1,89.5,0.3,1.5,X,관심,보통
2021-01-01,천안(232),-15.3,-2.1,-6.6,-13.9,93,0.3,1.6,주의보,주의,보통
2021-01-01,보령(235),-10,0.9,-2.8,-8.5,90.4,0.6,2.2,X, ,낮음
2021-01-01,부여(236),-12,-2.2,-6.2,-11.5,92.9,0.3,1,X, ,보통
2021-01-01,금산(238),-14,0.8,-5.2,-12.3,87.4,0.5,2.1,X, ,보통
2021-01-01,세종(239),-13.8,-2.2,-5.5,-10.8,86.8,0.6,1.7,X, ,보통
2021-01-01,부안(243),-10.1,4.1,-1.6,-8.6,82.6,1,3.6,X, ,낮음
